Town,Inhabitants,y_lat,x_lon,node_id
Atkár,1857.0,47.70439000000005,19.87775889600005,265602656
Attala,763.0,46.39438500000006,18.04339011400003,12383872107
Babarc,736.0,46.01823500000006,18.54145797800004,418145686
Babarcszőlős,111.0,45.90843949636829,18.13667651535309,410475764
Babócsa,1506.0,46.03093952626732,17.34274281417981,10710785419
Bábolna,3386.0,47.63699000000003,17.99647403400007,828098006
Bábonymegyer,825.0,46.75755500000002,18.10037589400002,2387828792
Babosdöbréte,532.0,46.80367145700006,16.77165000000002,276755651
Babót,1114.0,47.57563500000003,17.08483161200007,418738290
Bácsalmás,6371.0,46.11993000100006,19.31901542200006,410522162
Bácsbokod,2484.0,46.13688000000008,19.14977884200005,410521293
Bácsborsód,1095.0,46.07962500000008,19.15439572100007,410521285
Bácsszentgyörgy,140.0,45.98009139700008,19.04385332800007,5587326482
Bácsszőlős,316.0,46.12913278600007,19.42096500000002,3034623036
Badacsonytomaj,2181.0,46.81655997600006,17.53544500000004,412131940
Badacsonytördemic,920.0,46.80908000000005,17.47246000000007,15731365
Bag,3943.0,47.62039500000003,19.46244915600005,26732656
Bagamér,2513.0,47.47735197100008,21.98296500000004,2081084151
Baglad,58.0,46.68237390403088,16.49144067056348,443544505
Bagod,1217.0,46.89404321700005,16.74580000000003,1352494763
Bágyogszovát,1344.0,47.58693499900005,17.35961312000006,419619714
Baj,2912.0,47.63832000000008,18.39271635000006,206343623
Baja,34051.0,46.18218500000006,18.99941568900005,290194551
Bajánsenye,504.0,46.81054000100005,16.37738026300008,381372183
Bajna,1921.0,47.64169500000003,18.58644569500007,277274551
Bajót,1672.0,47.71682000000004,18.57022551200004,499398570
Bak,1598.0,46.73740000000004,16.82453961100003,276096745
Bakháza,165.0,46.10592640125002,17.36763536553164,1139377167
Bakóca,282.0,46.20531420700007,18.00483000000003,3379756601
Bakonszeg,1164.0,47.20011095600006,21.42256500000008,720506757
Bakonya,387.0,46.08479159000007,18.08197000000007,352718835
Bakonybánk,437.0,47.46655500100007,17.90276789200004,418275923
Bakonybél,1139.0,47.24375000000003,17.74728890300003,1143676808
Bakonycsernye,3123.0,47.32332873900003,18.08535500000005,343056329
Bakonygyirót,181.0,47.41797500000007,17.80108843500005,321888692
Bakonyjákó,742.0,47.24194829216787,17.6270830651144,324329802
Bakonykoppány,200.0,47.33062500000005,17.68744358500004,296137659
Bakonykúti,171.0,47.24532000000005,18.19769000000002,1278149787
Bakonynána,975.0,47.27136000000007,17.97447176500003,343056483
Bakonyoszlop,459.0,47.33540500000004,17.93427943600005,2411795404
Bakonypéterd,294.0,47.46876500100007,17.79001056900006,418303172
Bakonypölöske,421.0,47.20154000000008,17.48895616700003,305918427
Bakonyság,81.0,47.4018409146344,17.65624360756467,3219044637
Bakonysárkány,1004.0,47.44127444800006,18.09092500000003,420133455
Bakonyszentiván,217.0,47.39464000000004,17.65134046800006,3219044637
Bakonyszentkirály,820.0,47.36246999900004,17.87806382000002,321888805
Bakonyszentlászló,1742.0,47.36421550000006,17.81045500000005,382592746
Bakonyszombathely,1457.0,47.46084000000008,17.96733372800003,9143909216
Bakonyszücs,265.0,47.31532084000003,17.70970500000004,296137659
Bakonytamási,611.0,47.41647014400007,17.72930500000007,418303703
Baks,2010.0,46.51662500000003,20.12735743700006,416870131
Baksa,813.0,45.94331000000005,18.07560856900005,18330653
Baktakék,813.0,48.37543500000004,21.02664413400004,472836945
Baktalórántháza,3717.0,47.98936500000008,22.07251997200007,5305976493
Baktüttös,351.0,46.69984123012033,16.81599041549782,412782193
Balajt,513.0,48.3254190368007,20.78212984467357,2788627279
Balassagyarmat,13931.0,48.06031000000007,19.28901956000004,7044878891
Balástya,3506.0,46.41744000000006,19.98831434600004,448078123
Balaton,1002.0,48.10030000100005,20.30472948100004,473407815
Balatonakali,733.0,46.89174500000007,17.74112468700002,30761497
Balatonakarattya,1035.0,46.89174500000007,17.74112468700002,30761497
Balatonalmádi,10147.0,47.04220253400007,18.00647500000002,273123295
Balatonberény,1302.0,46.69593000100008,17.32058363100003,1085333724
Balatonboglár,5651.0,46.76550500000008,17.66138348400005,685325605
Balatoncsicsó,274.0,46.92614659000003,17.66577500000005,1716219707
Balatonederics,1108.0,46.80290000000008,17.38094430100006,1672070115
Balatonendréd,1363.0,46.82924500000007,17.98181363900005,12438473146
Balatonfenyves,2305.0,46.69047000000006,17.47249573700003,2990185177
Balatonfőkajár,1386.0,47.00999500000006,18.20318594100007,1757529292
